,Avg. SPAM error,Avg. SPAM error uncertainty,0 SPAM error,1 SPAM error
G1-left,2.35e-03,3.42e-04,7.00e-04,4.00e-03
G1-right,2.25e-03,3.35e-04,7.00e-04,3.80e-03
G2-left,2.45e-03,3.49e-04,1.00e-03,3.90e-03
G2-right,3.05e-03,3.90e-04,1.10e-03,5.00e-03
G3-left,2.60e-03,3.60e-04,5.00e-04,4.70e-03
G3-right,2.15e-03,3.27e-04,3.00e-04,4.00e-03
G4-left,2.55e-03,3.57e-04,1.80e-03,3.30e-03
G4-right,2.25e-03,3.35e-04,1.30e-03,3.20e-03
G5-left,2.65e-03,3.63e-04,1.00e-03,4.30e-03
G5-right,2.30e-03,3.39e-04,1.10e-03,3.50e-03
Mean,2.46e-03,1.11e-04,9.50e-04,3.97e-03
